;;leicht;;;adj;;2;light
der;;Leiter;~s;~;noun;job, pers;2;leader
w;;lernen;;;verb;;2;to learn
s5;;lesen;;;verb;;2;to read
das;;Licht;~s, ~es;~er, ~e;noun;conc;2;light
s5;;liegen;;;verb;;3;to lie, to be located
;;links;;;adv;;1;on the left
der;;Liter;~s;~;noun;conc;1;liter
der;;Löffel;~s;~;noun;tool;1;spoon
w;;machen;;;verb;;2;to make
das;;Mädchen;~s;~;noun;pers, chil;1;girl
;;man;;;pron;;2;one, they
der;;Manager;;;noun;job, pers;2;manager
;;manch;;;pron;;2;many
der;;Mann;~s, ~es;⍨er, ~, ~en;noun;pers;1;man, husband
die;;Mannschaft;~;~en;noun;grou;2;crew (for ship), team
der;;Mantel;~s;⍨;noun;clot;1;coat
das;;Maß;~es;~e;noun;;2;size
die;;Maßnahme;~;~n;noun;;2;measure
die;;Maus;~;⍨e;noun;anim;1;mouse
;;mein;;;pron;;1;my, mine
;;meist;;;adv;;2;most
der;;Meister;~s;~;noun;pers;2;master, champion
der;;Mensch;~en;~en;noun;pers;2;person, human
der;;Meter;~s;~;noun;conc;2;meter
die;;Milch;~;~en, ~e;noun;dri;1;milk
die;;Milliarde;~;~n;noun;num;2;billion
die;;Million;~;~en;noun;num;2;million
der;;Mini;~s;~s;noun;clot;2;mini skirt
;;mit;;;prep;;2;with
der;;Mitarbeiter;~s;~;noun;job, pers;2;employee
das;;Mitglied;~s, ~es;~er;noun;pers;3;member
die;;Mittag;~s;~e;noun;time;1;noon
;;mitunter;;;adv;;2;occasionally
das;;Möbel;~s;~, ~n;noun;furn;1;furniture
ir;;mögen;;;verb;;2;to like
;;möglich;~er;~sten;adj;;3;likely, possible
die;;Mutter;~;⍨;noun;fam, pers;1;mother
der;;Name;~ns;~n;noun;conc;1;name
;;nein;;;adv;;1;no
;;neu;~er;~sten;adj;;2;new
;;neun;;;pron;neun;1;nine
;;nicht;;;adv;;1;not
;;nichts;;;pron;;3;nothing
;;niemand;;;pron;;3;nobody
;;normal;~er;~sten;adj;;2;normal
;;notwendig;~er;~sten;adj;;3;necessary
die;;Nudel;~;~n;noun;food;1;pasta
die;;Nummer;~;~n;noun;num;1;number
der;;Nutzer;~s;~;noun;pers;2;user
;;offen;~er;~sten;adj;;2;open
das;;Orange;~;~n;noun;food;1;orange
;;original;~er;~sten;adj;;2;original
;;öffentlich;~er;~sten;adj;;3;public
die;;Öffentlichkeit;~;–;noun;;3;public
das;;Paar;~s, ~es;~e;noun;;2;pair
;;paar;;;pron;;2;few
der;;Partner;~s;~;noun;;2;partner
